Method,img_label,linear_vel,angular_vel,pre_inflation,goal_dist,delta_goal_dist,moved_toward_goal,next_linear_vel:,next_angular_vel,max_vel_x,max_vel_theta,vx_samples,vtheta_samples,path_distance_bias,goal_distance_bias,final_inflation
RL,0,1.7044278811147503e-06,-0.006161903641726871,0.1291116625070572,14.14061395671986,0.859303841438491,1,1.9520979321429277,-0.03310977357323257,1.9821721315383911,3.300997018814087,11,14,0.15851986408233643,1.3862109184265137,0.1291116625070572
RL,1,1.9520979321429277,-0.03310977357323257,0.24981829524040222,12.970587072737198,1.170026883982663,1,1.8571628207439692,-0.035983742108029876,1.9027605056762695,3.550006866455078,12,16,0.23653316497802734,1.187821865081787,0.24981829524040222
RL,2,1.8571628207439692,-0.035983742108029876,0.11433865129947662,12.011564157233739,0.9590229155034589,1,1.3842568437631064,-0.016073398019840708,1.6312508583068848,3.2198946475982666,12,14,0.2948785424232483,1.2075411081314087,0.11433865129947662
RL,3,1.3842568437631064,-0.016073398019840708,0.02031680941581726,11.296263608484908,0.7153005487488304,1,1.0389105680660637,-0.04890272830832538,1.949980616569519,2.7817320823669434,13,12,0.22632849216461182,1.5235302448272705,0.02031680941581726
RL,4,1.0389105680660637,-0.04890272830832538,-0.038512349128723145,10.669654441462384,0.626609167022524,1,0.7168061006913835,0.13064115347616606,2.314363956451416,3.494523048400879,12,12,0.3701833486557007,1.9495980739593506,-0.038512349128723145
RL,5,0.7168061006913835,0.13064115347616606,0.20444180071353912,9.7516340129938,0.9180204284685836,1,1.6939450355057253,0.06583574439539588,1.7715035676956177,2.8270373344421387,12,22,0.11208701133728027,1.6763997077941895,0.20444180071353912
RL,6,1.6939450355057253,0.06583574439539588,0.11075688898563385,8.617221369470744,1.1344126435230564,1,1.9856997110879357,0.14464688940445533,2.1022305488586426,3.1493163108825684,11,8,-0.13200068473815918,0.9958082437515259,0.11075688898563385
RL,7,1.9856997110879357,0.14464688940445533,0.1248435378074646,7.693914898170716,0.9233064713000285,1,1.4792083029278837,0.09593865346411785,1.9083189964294434,3.149470806121826,10,7,0.11546063423156738,1.2277463674545288,0.1248435378074646
RL,8,1.4792083029278837,0.09593865346411785,0.14662905037403107,6.575301599326363,1.1186132988443527,1,1.93189712393941,0.07632455529102984,1.9457435607910156,3.366881847381592,12,13,0.0003114938735961914,0.6376041173934937,0.14662905037403107
RL,9,1.93189712393941,0.07632455529102984,0.05348259210586548,5.2174158185439365,1.3578857807824267,1,1.8905072488400854,0.021453192028533755,1.9076498746871948,3.5508928298950195,10,14,-0.2131473422050476,1.1735646724700928,0.05348259210586548
RL,10,1.8905072488400854,0.021453192028533755,0.05571025609970093,4.122792425707662,1.094623392836275,1,1.8198541871960936,0.0547214156074061,1.840245246887207,2.938800811767578,12,21,0.1653631329536438,0.9877228736877441,0.05571025609970093
RL,0,1.4808352866182559e-06,0.0026924598936620718,0.09902164340019226,14.119042548585444,0.8809640982355376,1,1.9817992273107115,-0.045895683985068714,2.1696767807006836,3.147566795349121,11,20,0.055418550968170166,1.420404314994812,0.09902164340019226
RL,1,1.9817992273107115,-0.045895683985068714,0.08912882208824158,13.016496127017879,1.102546421567565,1,1.8744212777400582,-0.05149088102464646,1.8975309133529663,2.872006416320801,11,12,0.0165291428565979,1.1920682191848755,0.08912882208824158
RL,2,1.8744212777400582,-0.05149088102464646,-0.001880645751953125,12.032124708405405,0.9843714186124739,1,1.424949989735118,-0.013922758111808497,1.9136326313018799,2.9154958724975586,12,16,0.045301079750061035,1.0945030450820923,-0.001880645751953125
RL,3,1.424949989735118,-0.013922758111808497,0.0661408007144928,11.292428124549517,0.7396965838558884,1,1.0298513251817842,-0.03734072228155009,2.0295791625976562,3.054868459701538,10,8,0.13985061645507812,1.1089147329330444,0.0661408007144928
RL,4,1.0298513251817842,-0.03734072228155009,0.08759763836860657,10.75978681862738,0.5326413059221373,1,0.7247290707455667,0.023154924709025044,2.3815665245056152,3.0832738876342773,11,11,0.15935510396957397,2.0263333320617676,0.08759763836860657
RL,5,0.7247290707455667,0.023154924709025044,0.13858237862586975,9.809337287338307,0.9504495312890722,1,1.9701550595074175,0.007535003611707556,2.3314242362976074,3.3920938968658447,11,16,0.09413349628448486,2.1558899879455566,0.13858237862586975
RL,6,1.9701550595074175,0.007535003611707556,0.10127779841423035,9.004700353240771,0.8046369340975357,1,0.9689400619281368,0.00724157998568427,1.9869716167449951,3.2935590744018555,11,10,0.05232197046279907,0.673675537109375,0.10127779841423035
RL,7,0.9689400619281368,0.00724157998568427,0.4339659810066223,8.330198498488414,0.6745018547523571,1,1.9455184442251896,-0.001111630032158062,2.0336742401123047,2.9065637588500977,11,31,0.1916906237602234,1.6750962734222412,0.4339659810066223
RL,8,1.9455184442251896,-0.001111630032158062,0.08200833201408386,7.199881470110172,1.1303170283782427,1,1.9791363044209067,0.13620009555272128,1.9897239208221436,3.4930620193481445,11,5,0.26318567991256714,1.3906118869781494,0.08200833201408386
RL,9,1.9791363044209067,0.13620009555272128,0.06796571612358093,6.165266603486151,1.034614866624021,1,1.7120092553330073,0.06485357324188687,1.7302556037902832,3.327730655670166,11,20,0.012153029441833496,0.8885250091552734,0.06796571612358093
RL,10,1.7120092553330073,0.06485357324188687,0.11845725774765015,5.132739104012513,1.0325274994736375,1,1.670909281353281,0.05158827934129646,1.6876332759857178,3.250502109527588,11,25,0.10493743419647217,0.7606083750724792,0.11845725774765015
RL,0,7.437981039027684e-08,-0.002378405301879055,0.07931748032569885,14.095846348625976,0.9040785809383536,1,1.7662581562298576,-0.017180289584051003,1.8158793449401855,2.8650331497192383,12,16,-0.08040547370910645,1.4807544946670532,0.07931748032569885
RL,1,1.7662581562298576,-0.017180289584051003,0.09719863533973694,12.950164207391603,1.1456821412343725,1,1.9145466384798353,-0.04361983893838138,2.04909348487854,3.3644182682037354,11,16,0.1120714545249939,1.2921626567840576,0.09719863533973694
RL,2,1.9145466384798353,-0.04361983893838138,0.12316037714481354,12.006026123693792,0.9441380836978119,1,1.4240385309312085,-0.006972021626870092,1.8774218559265137,2.923940658569336,13,12,-0.062238991260528564,1.0215470790863037,0.12316037714481354
RL,3,1.4240385309312085,-0.006972021626870092,0.06308764219284058,11.285636741856054,0.7203893818377374,1,1.0135766385598406,-0.007278376266923936,1.7491713762283325,3.374677896499634,12,12,0.07777011394500732,1.651755928993225,0.06308764219284058
RL,4,1.0135766385598406,-0.007278376266923936,0.1688823252916336,10.76039911410386,0.525237627752194,1,0.7715190632273486,-0.0943849815478984,2.17390775680542,3.458693504333496,11,8,0.23280394077301025,2.0474166870117188,0.1688823252916336
RL,5,0.7715190632273486,-0.0943849815478984,0.1253315806388855,9.803380064764491,0.9570190493393689,1,1.9783279653499533,0.027058809988071836,2.0165109634399414,3.094601631164551,11,12,0.19715237617492676,2.0702645778656006,0.1253315806388855
RL,6,1.9783279653499533,0.027058809988071836,0.10977549850940704,9.014868915642895,0.7885111491215966,1,0.9416163862743636,0.0563833489569311,1.899787187576294,3.0635056495666504,11,5,0.1526152491569519,0.70933598279953,0.10977549850940704
RL,7,0.9416163862743636,0.0563833489569311,0.6480492353439331,8.44325623165841,0.5716126839844851,1,0.7672854323242273,-0.0019867081366605945,2.080390453338623,3.143240451812744,12,36,0.1987331509590149,2.171696424484253,0.6480492353439331
RL,8,0.7672854323242273,-0.0019867081366605945,0.02887105941772461,7.400580913590109,1.0426753180683006,1,1.9657165885865242,0.1608551469002848,1.973435878753662,3.2876157760620117,11,9,0.08412957191467285,1.277225136756897,0.02887105941772461
RL,9,1.9657165885865242,0.1608551469002848,0.11955928802490234,6.459284762882143,0.9412961507079665,1,1.4803773076611033,0.06691786769637881,2.114629030227661,3.220053195953369,11,23,0.07757985591888428,0.8849341869354248,0.11955928802490234
RL,10,1.4803773076611033,0.06691786769637881,0.15469782054424286,5.298611034144236,1.1606737287379065,1,1.9879483925425403,0.057419066608974834,2.1258835792541504,3.295224189758301,12,17,-0.003915667533874512,1.0929793119430542,0.15469782054424286
RL,11,1.9879483925425403,0.057419066608974834,0.08278033137321472,4.033879469818637,1.264731564325599,1,1.9847899259156605,0.03809261823576218,2.036557197570801,2.9301953315734863,12,18,0.2501009702682495,1.1146615743637085,0.08278033137321472
RL,0,-7.895432540128569e-09,-0.005755834922926595,0.1787251979112625,13.96224881217125,1.0377666647259165,1,2.0083419199509995,0.15435756724609187,2.037564277648926,3.15425705909729,13,8,0.1699783205986023,0.8365684747695923,0.1787251979112625
RL,1,2.0083419199509995,0.15435756724609187,0.2025514841079712,12.771322766426472,1.190926045744778,1,2.0061618879854644,-0.004586895757074777,2.1420211791992188,2.739635944366455,11,17,0.08500546216964722,1.1816959381103516,0.2025514841079712
RL,2,2.0061618879854644,-0.004586895757074777,0.11669626832008362,11.683070838923765,1.0882519275027072,1,1.8287193964717234,-0.2478980363942732,1.7351659536361694,3.363175392150879,11,13,0.15418404340744019,1.4872076511383057,0.11669626832008362
RL,3,1.8287193964717234,-0.2478980363942732,0.09205159544944763,10.53134162677775,1.151729212146014,1,1.7144071067806703,0.028539130806081916,1.7942419052124023,3.168278455734253,12,14,0.06440532207489014,1.4311866760253906,0.09205159544944763
RL,4,1.7144071067806703,0.028539130806081916,0.5286628007888794,9.516346331952976,1.0149952948247751,1,1.589193701516669,1.2036320223604966,2.161414623260498,3.362701416015625,11,8,0.14391839504241943,1.8158984184265137,0.5286628007888794
RL,5,1.589193701516669,1.2036320223604966,0.15364757180213928,8.834586368495918,0.6817599634570577,1,1.7833729056992962,0.08191112410940694,2.3804049491882324,3.0474061965942383,11,1,0.09454202651977539,0.20961260795593262,0.15364757180213928
RL,6,1.7833729056992962,0.08191112410940694,0.4164784550666809,7.831309284388895,1.0032770841070233,1,2.00589753161432,-0.6107642065274268,2.0260653495788574,3.1180498600006104,12,7,0.04748255014419556,0.3114092946052551,0.4164784550666809
RL,7,2.00589753161432,-0.6107642065274268,-0.04680424928665161,6.677849078424351,1.153460205964544,1,2.004035810637263,0.0052623649182075745,2.3407211303710938,3.318593978881836,11,23,0.015131235122680664,0.8852260708808899,-0.04680424928665161
RL,8,2.004035810637263,0.0052623649182075745,0.12852616608142853,5.506099493521907,1.171749584902444,1,2.0027869240249374,-0.0039369522185374725,1.816049337387085,3.005650281906128,11,21,0.0009710788726806641,0.9985092878341675,0.12852616608142853
RL,9,2.0027869240249374,-0.0039369522185374725,0.10736782848834991,4.375667433470073,1.1304320600518336,1,2.001836230537919,-0.003055262575251895,1.9094436168670654,3.2161083221435547,11,20,0.21005594730377197,0.6874659657478333,0.10736782848834991
