Method,Start_frame_id,Done_frame_id,Collision,Recovery,Smoothness,Status,Time,World,optimal_time,nav_metric
RL,0,10,0,2.6525191903132126e-07,-0.27851014953980696,success,7.545000000000002,world_0.world,8.558028082848947,0.5
RL,0,10,0,2.785514544424918e-07,-0.2325064404056137,success,7.195,world_0.world,8.558028082848947,0.5
RL,0,11,0,2.538070421809538e-07,-0.27460938937241886,success,7.894000000000002,world_0.world,8.558028082848947,0.5
RL,0,9,0,3.0303021120296636e-07,-1.0476208083637897,success,6.610000000000001,world_0.world,8.558028082848947,0.5
