Method,img_label,linear_vel,angular_vel,pre_inflation,goal_dist,delta_goal_dist,moved_toward_goal,next_linear_vel:,next_angular_vel,max_vel_x,max_vel_theta,nr_pairs_,distance,robot_radius,final_inflation
RL,0,6.377617689623898e-07,-0.0024295504164842667,0.14792312681674957,14.210994886373161,0.7889504359207322,1,1.9588477058582763,-0.01846148339282331,2.0,2.7761406898498535,800,0.035601839423179626,0.01,0.14792312681674957
RL,1,1.9588477058582763,-0.01846148339282331,0.17285968363285065,13.205154389030529,1.005840497342632,1,1.7363152301399642,0.05477633065000441,1.7721107006072998,3.14,800,0.04159936308860779,0.01,0.17285968363285065
RL,2,1.7363152301399642,0.05477633065000441,0.08681654930114746,12.226680762755699,0.9784736262748304,1,1.9476098293938637,0.14224202391108892,2.0,2.676454544067383,763,0.014919191598892212,0.01,0.1
RL,3,1.9476098293938637,0.14224202391108892,0.13182884454727173,11.180220432086942,1.046460330668756,1,1.9621268865486248,0.09547181469157531,2.0,3.14,800,0.01,0.01,0.13182884454727173
RL,4,1.9621268865486248,0.09547181469157531,0.09056323766708374,10.216822455581344,0.9633979765055987,1,1.7912358128208288,0.049707060265732614,1.8478317260742188,2.9996442794799805,800,0.01,0.01,0.1
RL,5,1.7912358128208288,0.049707060265732614,0.07394418120384216,9.302739524611852,0.9140829309694922,1,1.8230684298498254,-0.16608035223888234,1.8620593547821045,2.8222217559814453,770,0.01,0.026535648852586746,0.1
RL,6,1.8230684298498254,-0.16608035223888234,0.0779295563697815,8.31888874731221,0.9838507772996419,1,1.9692150707712688,-0.17164824594165642,2.0,3.14,779,0.01,0.030514970421791077,0.1
RL,7,1.9692150707712688,-0.17164824594165642,0.10802289843559265,7.275172063391282,1.0437166839209278,1,1.949271715156799,-0.13125827661299447,1.9885811805725098,3.14,770,0.01,0.01,0.10802289843559265
RL,8,1.949271715156799,-0.13125827661299447,0.11991092562675476,6.206499229224241,1.0686728341670406,1,1.9116025534534025,-0.08582687498823872,1.947479486465454,3.0310261249542236,800,0.01,0.02533712610602379,0.11991092562675476
RL,9,1.9116025534534025,-0.08582687498823872,0.122120201587677,5.2358814316639775,0.9706177975602639,1,1.788098679624803,-0.045686373205024534,1.8283450603485107,3.0365960597991943,796,0.036817774176597595,0.013164810836315155,0.122120201587677
RL,10,1.7944470401076762,-0.04401227666961495,0.024083048105239868,4.1675318635816305,1.068349568082347,1,1.9953766732630962,-0.15906437667092915,1.993514895439148,3.0906124114990234,800,0.012320950627326965,0.03137615695595741,0.1
RL,0,-6.851562909611824e-07,-0.0010841093731003334,0.11921489238739014,14.2787791196362,0.7212718442419668,1,1.8759723889881483,0.013650575621642765,1.9125970602035522,3.14,746,0.043236613273620605,0.01,0.11921489238739014
RL,1,1.8759723889881483,0.013650575621642765,0.07232904434204102,13.366251119971867,0.9125279996643325,1,1.7228322299682928,0.060197421615472466,1.7497124671936035,3.14,771,0.028580933809280396,0.01,0.1
RL,2,1.7228322299682928,0.060197421615472466,0.14806011319160461,12.263000256716657,1.1032508632552105,1,1.9564287581434978,0.13680854733167158,2.0,3.129284381866455,800,0.011487647891044617,0.01,0.14806011319160461
RL,3,1.9564287581434978,0.13680854733167158,0.18855345249176025,11.257188537918145,1.0058117187985118,1,1.9553481099916548,0.10033073439168744,2.0,3.110635995864868,800,0.01,0.018348854035139084,0.18855345249176025
RL,4,1.9553481099916548,0.10033073439168744,0.1169758141040802,10.23031637180434,1.0268721661138045,1,1.9159795870586662,0.030062747458967042,2.0,3.14,800,0.01,0.01778242737054825,0.1169758141040802
RL,5,1.9159795870586662,0.030062747458967042,0.13507080078125,9.2224156700657,1.0079007017386399,1,1.9115799747090942,-0.15124861232465775,1.9513442516326904,2.796837568283081,791,0.03157205879688263,0.012514159083366394,0.13507080078125
RL,6,1.9115799747090942,-0.15124861232465775,0.13968297839164734,8.179543644807753,1.0428720252579478,1,1.8938949812220829,-0.174106756511511,1.9257817268371582,2.809469699859619,793,0.01,0.01,0.13968297839164734
RL,7,1.8938949812220829,-0.174106756511511,0.04874172806739807,7.182755294918223,0.9967883498895294,1,1.851972115825688,-0.09636495249442031,1.8866586685180664,3.1046531200408936,800,0.01,0.016848042607307434,0.1
RL,8,1.851972115825688,-0.09636495249442031,0.09148472547531128,6.162080733986365,1.0206745609318588,1,1.902362978603174,-0.04743689453693722,1.938778042793274,3.0333375930786133,800,0.01,0.01,0.1
RL,9,1.902362978603174,-0.04743689453693722,0.06606307625770569,5.168613845853541,0.9934668881328239,1,1.8569630409045212,-0.12585653605411548,1.8611860275268555,3.0388219356536865,779,0.05120973289012909,0.015419334173202515,0.1
RL,10,1.8569630409045212,-0.12585653605411548,0.0820835530757904,4.146791431898581,1.0218224139549594,1,1.9812712794741414,0.031129496044662842,1.9793221950531006,3.019296646118164,790,0.05324636399745941,0.01,0.1
RL,0,2.740252590674579e-06,-0.0003771864034391925,0.17390397191047668,14.222666282069524,0.777345291172816,1,1.9570946185927611,-0.013380082986162967,2.0,3.14,800,0.07286204397678375,0.02438923716545105,0.17390397191047668
RL,1,1.9570946185927611,-0.013380082986162967,0.10154414176940918,13.100861246959076,1.121805035110448,1,1.827285542290008,0.08070538192746803,1.8781923055648804,3.14,794,0.01,0.01,0.10154414176940918
RL,2,1.827285542290008,0.08070538192746803,0.1123829036951065,12.08525352417847,1.0156077227806062,1,1.8208709982285176,0.11603507943447924,1.8653178215026855,3.14,800,0.042877525091171265,0.013414442539215088,0.1123829036951065
RL,3,1.8208709982285176,0.11603507943447924,0.022963404655456543,11.032431916608603,1.0528216075698662,1,1.9545727668282225,0.08284734427764182,2.0,3.14,766,0.01,0.012744858860969543,0.1
RL,4,1.9545727668282225,0.08284734427764182,0.11473076045513153,10.026549900374006,1.0058820162345974,1,1.8863240392248513,0.04734119147455697,1.9465904235839844,2.8193767070770264,799,0.03183533251285553,0.02671010047197342,0.11473076045513153
RL,5,1.8863240392248513,0.04734119147455697,0.16123875975608826,9.002163698509317,1.0243862018646883,1,1.9637092941109813,-0.2088842019421351,2.0,2.9710278511047363,758,0.01,0.01,0.16123875975608826
RL,6,1.9637092941109813,-0.2088842019421351,0.14681926369667053,7.9163301964312724,1.085833502078045,1,1.9602945413341442,-0.13942113361085476,2.0,3.14,775,0.01,0.01,0.14681926369667053
