Method,img_label,linear_vel,angular_vel,pre_inflation,goal_dist,delta_goal_dist,moved_toward_goal,next_linear_vel:,next_angular_vel,max_vel_x,max_vel_theta,nr_pairs_,distance,robot_radius,final_inflation
RL,0,1.3435958178163942e-06,-0.005644656010841246,0.11288438737392426,14.297222276675049,0.7027968789470282,1,1.6827507059385043,0.30300988287667385,2.0,3.138293504714966,800,0.01,0.022041328251361847,0.11288438737392426
RL,1,1.6827507059385043,0.30300988287667385,0.12679333984851837,13.29194954841204,1.0052727282630087,1,1.087013610205849,0.26925615802147523,2.0,3.14,781,0.03757445514202118,0.0276150144636631,0.12679333984851837
RL,2,1.087013610205849,0.26925615802147523,0.10170672833919525,12.81897779497616,0.47297175343588016,1,0.8538608948995303,0.17705286048254903,1.9420878887176514,3.14,800,0.07280175387859344,0.01809924840927124,0.10170672833919525
RL,3,0.8538608948995303,0.17705286048254903,0.055426448583602905,12.355179534526613,0.463798260449547,1,1.1964687645810261,0.01979951752346919,2.0,3.14,753,0.01,0.01,0.1
RL,4,1.1964687645810261,0.01979951752346919,0.12517277896404266,11.737252525566618,0.6179270089599953,1,0.9790830005925227,-0.783074717788135,2.0,3.14,768,0.025711148977279663,0.01625756174325943,0.12517277896404266
RL,5,0.9790830005925227,-0.783074717788135,0.19707614183425903,11.306077345967823,0.43117517959879414,1,0.7074495807617187,-0.46009741850365493,1.9092830419540405,3.14,724,0.03903736174106598,0.013598069548606873,0.19707614183425903
RL,6,0.7074495807617187,-0.46009741850365493,0.38477087020874023,10.782117207898228,0.5239601380695955,1,0.49863937076354786,-0.7632090229627189,2.0,3.14,475,0.01,0.01,0.38477087020874023
RL,7,0.49863937076354786,-0.7632090229627189,0.2542082965373993,10.530803510511511,0.25131369738671694,1,0.9940895834624959,-0.0157829819944008,2.0,3.14,571,0.01,0.02792462334036827,0.2542082965373993
RL,8,0.9940895834624959,-0.0157829819944008,0.1363208144903183,9.867619608059364,0.6631839024521469,1,1.434691563433775,0.39200653319352863,1.7907859086990356,3.1284990310668945,698,0.05176340043544769,0.01,0.1363208144903183
RL,9,1.434691563433775,0.39200653319352863,0.11097437143325806,9.083147033856296,0.7844725742030683,1,1.5852387887698818,0.36265352386738414,2.0,2.948594570159912,779,0.02074761688709259,0.01,0.11097437143325806
RL,10,1.5852387887698818,0.36265352386738414,0.08129134774208069,8.206119801028716,0.8770272328275794,1,1.6949393262023864,0.21227998633102604,1.982973575592041,2.9692206382751465,800,0.019220128655433655,0.013802699744701385,0.1
RL,11,1.6949393262023864,0.21227998633102604,0.0819859504699707,7.302051765230937,0.9040680357977795,1,1.6815068175778876,0.07032548035913178,2.0,3.0315117835998535,774,0.02785201370716095,0.01,0.1
RL,12,1.6815068175778876,0.07032548035913178,0.14591926336288452,6.323088616428162,0.9789631488027748,1,1.7030312526541036,0.029636158225462762,2.0,2.9244043827056885,755,0.01,0.017576314508914948,0.14591926336288452
RL,13,1.7030312526541036,0.029636158225462762,0.1088470071554184,5.430894535004152,0.8921940814240097,1,1.8143752614341484,0.0014670163861406724,1.8657679557800293,3.14,780,0.023874640464782715,0.013798654079437256,0.1088470071554184
RL,14,1.8143752614341484,0.0014670163861406724,0.08091515302658081,4.314219441013337,1.116675093990815,1,2.0072237780573126,-0.054900459574185184,2.0,3.14,800,0.026336073875427246,0.021907251328229904,0.1
RL,0,3.3460810087919626e-07,-0.013143213094402703,0.12893187999725342,14.356088225793723,0.6438199458585832,1,1.676443091736953,0.18139727620958399,2.0,3.099188804626465,800,0.013619691133499146,0.017213553190231323,0.12893187999725342
RL,1,1.676443091736953,0.18139727620958399,0.09049049019813538,13.597976936873351,0.7581112889203716,1,1.3155035207534158,0.32270029620829876,2.0,3.14,800,0.03226599097251892,0.01,0.1
RL,2,1.3155035207534158,0.32270029620829876,0.10996003448963165,13.037048722592614,0.5609282142807377,1,0.9854574646354215,0.3241391600911572,2.0,3.14,800,0.03865496814250946,0.02419401705265045,0.10996003448963165
RL,3,0.9854574646354215,0.3241391600911572,0.1411929875612259,12.624844110946281,0.4122046116463327,1,0.7450462011376204,0.15503060295027937,2.0,3.14,781,0.01509276032447815,0.01,0.1411929875612259
