Method,img_label,linear_vel,angular_vel,pre_inflation,goal_dist,delta_goal_dist,moved_toward_goal,next_linear_vel:,next_angular_vel,max_vel_x,max_vel_theta,nr_pairs_,distance,robot_radius,final_inflation
RL,0,7.685445996216362e-07,-0.0052991698977857184,0.07788360118865967,14.285219859389656,0.7148315269637848,1,1.8545983477541612,-0.01092686391733745,2.0,2.5756258964538574,800,0.01,0.02170529216527939,0.1
RL,1,1.8545983477541612,-0.01092686391733745,0.09433579444885254,13.297517266997973,0.9877025923916829,1,1.7305224133481496,0.2655925676739755,1.9739153385162354,3.0370290279388428,760,0.012173041701316833,0.01,0.1
RL,2,1.7305224133481496,0.2655925676739755,0.06879958510398865,12.35771006739,0.9398071996079729,1,1.6239767789288393,-0.00043137384702322834,2.0,2.77400541305542,796,0.035216376185417175,0.013356506824493408,0.1
RL,3,1.6239767789288393,-0.00043137384702322834,0.17330805957317352,11.656341028582432,0.7013690388075684,1,1.2072025672188933,0.03234804970163156,1.7570432424545288,3.14,800,0.013104856014251709,0.024235282093286514,0.17330805957317352
RL,4,1.2072025672188933,0.03234804970163156,0.045036524534225464,10.826474280570388,0.8298667480120443,1,1.8374206957365578,-0.737644777407421,1.9317638874053955,3.14,800,0.03024551272392273,0.020243920385837555,0.1
RL,5,1.8374206957365578,-0.737644777407421,0.1027301549911499,9.83176696620944,0.994707314360948,1,1.858138706658336,-0.7260303692065853,2.0,3.14,787,0.01,0.02295668050646782,0.1027301549911499
RL,6,1.858138706658336,-0.7260303692065853,0.023114442825317383,8.91094308977912,0.9208238764303189,1,1.931589460200032,-0.006849478278080543,2.0,3.14,800,0.015123218297958374,0.01,0.1
RL,7,1.931589460200032,-0.006849478278080543,0.1361241340637207,8.049057676270424,0.8618854135086966,1,1.771342086242168,0.45736392742826965,1.8045871257781982,3.14,773,0.01,0.01,0.1361241340637207
RL,8,1.771342086242168,0.45736392742826965,0.07924914360046387,7.104950859166496,0.9441068171039282,1,1.888683496775879,0.20799609832406107,1.921095609664917,2.9780280590057373,800,0.01,0.01,0.1
RL,9,1.888683496775879,0.20799609832406107,0.11329548060894012,6.106614866345404,0.998335992821092,1,1.964445625940928,0.10245321890549966,2.0,3.131859302520752,774,0.01,0.011833712458610535,0.11329548060894012
RL,10,1.964445625940928,0.10245321890549966,0.10635179281234741,5.081699309466231,1.024915556879173,1,1.9278868251889716,0.16426280876529264,1.926849126815796,3.14,800,0.01,0.016675807535648346,0.10635179281234741
RL,11,1.9278868251889716,0.16426280876529264,0.10217857360839844,4.008504920473572,1.0731943889926585,1,2.0020874035736465,0.12375876594013714,2.0,3.14,800,0.01,0.01,0.10217857360839844
RL,0,1.229922862200232e-06,0.0004908340889445915,0.107149139046669,14.281458858208508,0.7185614183238886,1,1.8152931373854195,0.0466103261515923,1.9640369415283203,2.831707239151001,800,0.01,0.01,0.107149139046669
RL,1,1.8152931373854195,0.0466103261515923,0.09718820452690125,13.331590170095083,0.9498686881134244,1,1.7124942380842096,0.3152027818106562,1.807248830795288,3.0130770206451416,800,0.017306461930274963,0.018086526542901993,0.1
RL,2,1.7124942380842096,0.3152027818106562,0.09894350171089172,12.36225898258708,0.9693311875080024,1,1.617561296180971,0.044386768510969524,1.7583749294281006,3.14,800,0.01,0.02728240191936493,0.1
RL,3,1.617561296180971,0.044386768510969524,0.12867951393127441,11.644931615705886,0.7173273668811948,1,1.4252522330953303,-0.1161760264327464,2.0,3.116147041320801,800,0.013614147901535034,0.01,0.12867951393127441
RL,4,1.4252522330953303,-0.1161760264327464,0.11766619980335236,10.743769752947232,0.901161862758654,1,1.9061954437932636,-1.0065270562804658,2.0,3.14,761,0.01,0.01,0.11766619980335236
RL,5,1.9061954437932636,-1.0065270562804658,0.056733518838882446,9.750459087813908,0.9933106651333237,1,1.862821021558829,-0.3935397323201041,1.9298148155212402,3.14,742,0.01,0.01,0.1
RL,6,1.862821021558829,-0.3935397323201041,0.11428616940975189,8.865477614003424,0.884981473810484,1,1.7612176227747505,-0.15076830339825034,1.8584585189819336,3.096057415008545,799,0.047958582639694214,0.01,0.11428616940975189
RL,7,1.7612176227747505,-0.15076830339825034,0.12953832745552063,8.016412947740147,0.8490646662632777,1,1.9046231666129179,0.5143329573917849,1.9382771253585815,3.14,771,0.05091297626495361,0.015768036246299744,0.12953832745552063
RL,8,1.9046231666129179,0.5143329573917849,0.028249263763427734,7.01369720540255,1.002715742337597,1,1.9606183116620681,0.2652323128911827,2.0,3.0460715293884277,783,0.01,0.0232975073158741,0.1
