Method,img_label,linear_vel,angular_vel,pre_inflation,goal_dist,delta_goal_dist,moved_toward_goal,next_linear_vel:,next_angular_vel,max_vel_x,max_vel_theta,nr_pairs_,distance,robot_radius,final_inflation
RL,0,-1.98437077268665e-07,0.004677090510086859,0.1269868016242981,14.40280237846961,0.5972202542474392,1,1.3423470118485794,-0.2659193698317556,1.498989224433899,3.14,800,0.01,0.01522170752286911,0.1269868016242981
RL,1,1.3423470118485794,-0.2659193698317556,0.14157167077064514,13.78836107102314,0.6144413074464712,1,0.9960300074908096,-0.15216988350047436,1.7693979740142822,3.0438156127929688,788,0.01,0.010347753763198853,0.14157167077064514
RL,2,0.9960300074908096,-0.15216988350047436,0.07292693853378296,13.331647106653586,0.4567139643695537,1,0.7458487739940828,-0.11750900265023596,1.9654741287231445,3.14,789,0.01,0.01,0.1
RL,3,0.7458487739940828,-0.11750900265023596,0.16564404964447021,13.132254067371107,0.1993930392824783,1,0.21403897971168168,1.2837943179733073,1.9736541509628296,3.0757439136505127,800,0.01,0.01,0.16564404964447021
RL,4,0.04733713272390176,0.07758456613116017,0.6084246039390564,12.98979696736588,0.024023266423268907,0,0.052238172851673134,0.3417986926105018,1.8088462352752686,1.4109480381011963,400,0.01,0.15,0.6
RL,5,-0.004600264059875948,0.0040106424002379825,0.15545432269573212,12.977949947589334,-0.0012558108596856243,0,0.18316625573775297,0.01163954786143523,1.8779218196868896,3.087887763977051,400,0.01,0.10639713704586029,0.15545432269573212
RL,6,0.18316625573775297,0.01163954786143523,0.05702090263366699,12.973654116236714,0.004295831352619572,0,0.005960282318727924,0.01625896036477596,2.0,3.14,400,0.01,0.09789465367794037,0.1
RL,7,-0.10308629571835269,0.011375758887616636,0.1506892591714859,12.972477569867308,0.0022388012930836254,0,-0.1038975194380562,-0.003139743800729045,2.0,3.14,420,0.01,0.0922490805387497,0.1506892591714859
RL,8,-0.1038975194380562,-0.003139743800729045,0.16362784802913666,12.973878509244324,-0.0014009393770155754,0,0.059625500225268635,-0.03383251520212279,2.0,3.14,400,0.01242952048778534,0.01908549666404724,0.16362784802913666
RL,9,-0.10310423588360637,0.009074433258707377,0.10478629171848297,12.96915876751342,0.0036493790582881047,0,-0.10196261718311894,0.0013745393582509798,1.612898588180542,3.112758159637451,430,0.01,0.01772628352046013,0.10478629171848297
RL,10,-0.10152038438134707,0.006286215056946143,0.03914371132850647,12.96655545371603,-0.0008365243121524202,0,0.06412609717817885,0.38745574532069266,2.0,3.14,488,0.01,0.024738334119319916,0.1
RL,11,0.06412609717817885,0.38745574532069266,0.041261643171310425,12.965736659408847,0.0008187943071824577,0,-0.10142996517802076,0.008912280320894753,2.0,2.8685696125030518,424,0.01,0.01,0.1
RL,12,-0.10142996517802076,0.008912280320894753,0.1047021895647049,12.96850600351563,-0.0027693441067828672,0,0.059050067241440296,0.18626668478274455,2.0,3.070230484008789,751,0.0387132465839386,0.011889338493347168,0.1047021895647049
RL,13,0.31019596947373534,-0.036902014275943106,0.0858510434627533,13.00316891553132,-0.0213182257016733,0,0.1050619931236397,0.25355884085039854,1.8896130323410034,3.1275687217712402,777,0.036026328802108765,0.0145668163895607,0.1
RL,14,1.3268900426607386,0.0064577749346307195,0.15122245252132416,13.4628300505052,-0.3089724210523155,-1,1.807059351259638,-0.6213112022799748,2.0,2.9171149730682373,800,0.030021846294403076,0.01,0.15122245252132416
RL,15,1.639163785324912,-1.9982004924140802,0.5546193718910217,12.603054724444876,0.7472973911553868,1,1.475529497380243,-0.9620892202383035,2.0,2.864558219909668,400,0.06397758424282074,0.040622007101774216,0.5546193718910217
RL,16,1.475529497380243,-0.9620892202383035,0.6188633441925049,11.944677714589018,0.6583770098558581,1,1.1358990795837887,-0.5772130206882455,2.0,3.089831829071045,400,0.01,0.012229859828948975,0.6
RL,17,1.1358990795837887,-0.5772130206882455,0.25095564126968384,11.441751708811287,0.5029260057777307,1,0.8891836689083266,-0.1823505398767519,1.9085086584091187,3.14,437,0.03172531723976135,0.011390984058380127,0.25095564126968384
RL,18,0.8891836689083266,-0.1823505398767519,0.157236248254776,10.998340946000084,0.44341076281120273,1,0.941983841774535,8.880849494888074e-05,1.7716057300567627,3.14,681,0.013294845819473267,0.01,0.157236248254776
RL,19,0.941983841774535,8.880849494888074e-05,0.07698208093643188,10.412439713294589,0.5859012327054955,1,1.3616638541692283,0.364427382096764,2.0,3.14,766,0.01,0.01,0.1
RL,20,1.3616638541692283,0.364427382096764,0.19373740255832672,9.920028238795238,0.49241147449935063,1,0.8865878232734623,0.9445808347259822,1.8873381614685059,3.14,800,0.03169822692871094,0.01,0.19373740255832672
RL,21,0.8865878232734623,0.9445808347259822,0.10143826901912689,9.354511038708193,0.5655172000870454,1,0.8881135712821077,0.0004404175788165202,2.0,3.14,790,0.054003387689590454,0.01,0.10143826901912689
RL,22,0.8881135712821077,0.0004404175788165202,0.07538121938705444,8.672933167298421,0.6815778714097718,1,1.6541119576656482,-0.5118100028051675,2.0,3.14,800,0.01,0.01,0.1
RL,23,1.6541119576656482,-0.5118100028051675,0.15807126462459564,7.8285615964003945,0.8443715708980264,1,1.7119113491746467,-0.21910576699535883,1.9632694721221924,3.14,800,0.01,0.028108615428209305,0.15807126462459564
RL,24,1.7119113491746467,-0.21910576699535883,0.08664610981941223,6.863606267971299,0.9649553284290953,1,1.9398335428173115,-0.09788518690619481,1.9703444242477417,3.14,800,0.046509549021720886,0.01,0.1
RL,25,1.9398335428173115,-0.09788518690619481,0.08084902167320251,5.855371973748835,1.008234294222464,1,1.969096213727907,-0.10965255270091186,2.0,3.14,763,0.01963922381401062,0.01,0.1
