Method,Start_frame_id,Done_frame_id,Collision,Recovery,Smoothness,Status,Time,World,optimal_time,nav_metric
RL,0,12,0,2.5906729039707504e-07,-1.8517158656024273,success,7.718000000000001,world_196.world,8.395202655329975,0.5
RL,0,14,0,2.232142358896795e-07,-2.3970366427695704,success,8.974,world_196.world,8.395202655329975,0.5
RL,0,13,0,2.4570018533164984e-07,-1.8865196512454145,success,8.157,world_196.world,8.395202655329975,0.5
