Method,img_label,linear_vel,angular_vel,pre_inflation,goal_dist,delta_goal_dist,moved_toward_goal,next_linear_vel:,next_angular_vel,max_vel_x,max_vel_theta,nr_pairs_,distance,robot_radius,final_inflation
RL,0,2.741693854342309e-07,-0.0017515221964050898,0.1229526549577713,14.322257688142768,0.677727476912537,1,1.6181545956085028,-0.3278238982153208,1.9600334167480469,3.14,800,0.03415735065937042,0.02269092947244644,0.1229526549577713
RL,1,1.6181545956085028,-0.3278238982153208,0.17564436793327332,13.511316947162673,0.8109407409800955,1,1.310862784202025,-0.26578944517822456,1.7338749170303345,3.14,800,0.0638817548751831,0.01,0.17564436793327332
RL,2,1.310862784202025,-0.26578944517822456,0.09397003054618835,12.96373639803567,0.5475805491270034,1,0.9879990453555839,-0.16250943958673592,2.0,3.14,800,0.01,0.01,0.1
RL,3,0.9879990453555839,-0.16250943958673592,0.07418426871299744,12.571562808791132,0.39217358924453727,1,0.7431034328250525,-0.23206148411958677,2.0,2.716543197631836,757,0.01,0.012291178107261658,0.1
RL,4,0.7431034328250525,-0.23206148411958677,0.07902282476425171,12.174758316610056,0.39680449218107583,1,1.608671700952246,0.007466929680910575,1.8620309829711914,3.1308746337890625,800,0.01,0.01,0.1
RL,5,1.608671700952246,0.007466929680910575,0.12148000299930573,11.44574085560372,0.729017461006336,1,1.6095243049195413,0.701676896595734,1.8475234508514404,2.9928975105285645,748,0.01,0.01,0.12148000299930573
RL,6,1.6095243049195413,0.701676896595734,0.16217130422592163,10.5403031219358,0.9054377336679202,1,1.7878319896678816,0.52295018621279,1.834153413772583,3.14,648,0.020033910870552063,0.020784147083759308,0.16217130422592163
RL,7,1.7878319896678816,0.52295018621279,0.04276427626609802,9.264862271378448,1.2754408505573522,1,1.9171222425070473,0.03656207838448653,1.944152593612671,3.079324722290039,724,0.01,0.021371155977249146,0.1
RL,8,1.9171222425070473,0.03656207838448653,0.09743130207061768,8.268896362181888,0.9959659091965598,1,1.924562059818521,-0.0055966700809527755,1.951566457748413,2.9662563800811768,792,0.06686687469482422,0.01,0.1
RL,9,1.924562059818521,-0.0055966700809527755,0.14652590453624725,7.215704091297245,1.0531922708846428,1,1.966470308914226,0.003775717841888192,2.0,3.14,798,0.01,0.01,0.14652590453624725
RL,10,1.966470308914226,0.003775717841888192,0.16171050071716309,6.235534410540634,0.9801696807566112,1,1.7892749728035986,-0.007845545720394129,1.826272964477539,3.14,789,0.014639243483543396,0.021508514881134033,0.16171050071716309
RL,11,1.7892749728035986,-0.007845545720394129,0.0754498541355133,5.215693115973162,1.0198412945674722,1,1.964135180089453,-0.0026868245590410157,2.0,3.019289016723633,800,0.08284470438957214,0.01,0.1
RL,12,1.964135180089453,-0.0026868245590410157,0.06380414962768555,4.401688542083698,0.8140045738894637,1,1.4552123254798828,0.016699812186492448,1.4991859197616577,2.951139450073242,767,0.0193740576505661,0.01770815998315811,0.1
RL,0,-6.834611706824983e-07,-0.016824224575732256,0.05079466104507446,14.318246929499509,0.6817728786477275,1,1.6862665461072346,-0.29707297699726243,2.0,2.71679425239563,800,0.01,0.01,0.1
RL,1,1.6862665461072346,-0.29707297699726243,0.14042498171329498,13.564906012282501,0.7533409172170078,1,1.3042931709954593,-0.46364069270184927,1.9038445949554443,3.0518012046813965,800,0.01,0.014780692756175995,0.14042498171329498
RL,2,1.3042931709954593,-0.46364069270184927,0.09468954801559448,12.991218804953212,0.5736872073292894,1,1.0261826452154825,-0.2603702565968912,2.0,3.14,759,0.02790769934654236,0.01,0.1
RL,3,1.0261826452154825,-0.2603702565968912,0.0991220772266388,12.605699283453108,0.38551952150010393,1,0.7677259860635766,-0.19747680087118308,1.7541149854660034,3.14,798,0.01,0.023389216512441635,0.1
RL,4,0.7677259860635766,-0.19747680087118308,0.05498501658439636,12.24320505332427,0.3624942301288385,1,0.9216014865847127,0.1722561584675556,1.9582703113555908,3.14,793,0.043286070227622986,0.02528606355190277,0.1
RL,5,0.9216014865847127,0.1722561584675556,0.10592304170131683,11.546328923446683,0.6968761298775856,1,1.665187066520055,0.7232820278574055,2.0,3.14,713,0.01,0.01,0.10592304170131683
RL,6,1.665187066520055,0.7232820278574055,0.09953933954238892,10.737808990627002,0.8085199328196815,1,1.6324784630434863,0.5677101427021309,2.0,2.881399154663086,766,0.01,0.01,0.1
RL,7,1.6324784630434863,0.5677101427021309,0.03468888998031616,9.929462147856762,0.8083468427702396,1,1.566465540667348,0.0508154545300664,1.9446533918380737,3.107356548309326,738,0.04944199323654175,0.020181015133857727,0.1
RL,8,1.566465540667348,0.0508154545300664,0.15499672293663025,9.097093530987404,0.832368616869358,1,1.521888427911248,-0.01615679064387131,1.773092269897461,3.100137233734131,800,0.026697486639022827,0.01,0.15499672293663025
