Method,img_label,linear_vel,angular_vel,pre_inflation,goal_dist,delta_goal_dist,moved_toward_goal,next_linear_vel:,next_angular_vel,max_vel_x,max_vel_theta,nr_pairs_,distance,robot_radius,final_inflation
RL,0,-7.351486336789128e-07,0.005092784413574041,0.10546748340129852,14.416754195468528,0.5832953903795204,1,1.4041515445553936,0.14347219497059302,2.0,3.059732437133789,800,0.01,0.029200483113527298,0.10546748340129852
RL,1,1.4041515445553936,0.14347219497059302,0.12569281458854675,13.595455661227353,0.8212985342411745,1,1.405146645279711,0.14963717973710192,1.7157020568847656,2.959225654602051,800,0.01,0.01,0.12569281458854675
RL,2,1.405146645279711,0.14963717973710192,0.12426213920116425,12.875359544360647,0.7200961168667064,1,1.7194715351471568,0.31297613854224143,1.9490541219711304,3.14,798,0.01,0.01,0.12426213920116425
RL,3,1.7194715351471568,0.31297613854224143,0.022630929946899414,12.200397766692431,0.6749617776682157,1,1.324906180459902,0.013166310901546921,2.0,2.9154887199401855,800,0.0729801207780838,0.01,0.1
RL,4,1.324906180459902,0.013166310901546921,0.06294265389442444,11.520681743497462,0.6797160231949686,1,0.6023404815543025,0.20807614423860066,2.0,2.936534881591797,637,0.030774325132369995,0.010372154414653778,0.1
RL,5,0.6023404815543025,0.20807614423860066,0.10586081445217133,11.271859304557365,0.24882243894009726,1,0.41187889506980874,-0.782412262298867,1.7641942501068115,3.13146710395813,776,0.01,0.018756836652755737,0.10586081445217133
RL,6,0.41187889506980874,-0.782412262298867,0.15564192831516266,11.079054071002895,0.19280523355446988,1,0.302017302651852,0.0016624778266914075,2.0,3.059217929840088,800,0.01,0.01297210156917572,0.15564192831516266
RL,7,0.302017302651852,0.0016624778266914075,0.1604183167219162,10.734391114763572,0.34466295623932375,1,0.9535597387548859,0.03368897096698717,2.0,3.14,790,0.01,0.01,0.1604183167219162
RL,8,0.9535597387548859,0.03368897096698717,0.08029487729072571,9.987211266868607,0.747179847894964,1,1.534184775051392,0.44495839129651155,1.8644402027130127,3.14,800,0.010314106941223145,0.01,0.1
RL,9,1.534184775051392,0.44495839129651155,0.06482577323913574,9.180190290240112,0.807020976628495,1,1.587864358900416,0.1572930959635613,1.9566946029663086,3.030437707901001,793,0.04527011513710022,0.019797205924987793,0.1
RL,10,1.587864358900416,0.1572930959635613,0.09651362895965576,8.32340816761097,0.8567821226291432,1,1.672867675860545,0.08640367512103805,1.905925989151001,3.133439064025879,800,0.01,0.01,0.1
RL,11,1.672867675860545,0.08640367512103805,0.07956644892692566,7.449140397023439,0.8742677705875304,1,1.6866397302392102,0.009382007646475973,2.0,3.14,800,0.026456639170646667,0.01,0.1
RL,0,-1.0024613271613057e-06,0.0010857558004120295,0.0760946273803711,14.415940339113188,0.5840618033995781,1,1.6493878380701315,0.009997364393709868,1.8520843982696533,3.14,800,0.01,0.011945903301239014,0.1
RL,1,1.6493878380701315,0.009997364393709868,0.09570097923278809,13.602259991155188,0.8136803479579999,1,1.3843250190761693,0.16793489734420203,1.8467949628829956,3.14,800,0.01,0.021457914263010025,0.1
