Method,img_label,linear_vel,angular_vel,pre_inflation,goal_dist,delta_goal_dist,moved_toward_goal,next_linear_vel:,next_angular_vel,max_vel_x,max_vel_theta,nr_pairs_,distance,robot_radius,final_inflation
RL,0,3.968336406522392e-07,-0.0001574593144336113,0.09807556867599487,14.26533903490466,0.7345813445119465,1,1.7348425974135364,0.044591500635111116,1.993739366531372,2.980625867843628,769,0.01,0.029153499752283096,0.1
RL,1,1.7348425974135364,0.044591500635111116,0.07817849516868591,13.136309973348707,1.1290290615559524,1,1.8455661124099467,0.05974840963564075,1.9210255146026611,3.14,779,0.036404892802238464,0.014769718050956726,0.1
RL,2,1.8455661124099467,0.05974840963564075,0.07163691520690918,12.194680170909391,0.9416298024393157,1,1.7084258113579682,0.08426318215963763,1.7725658416748047,3.090167284011841,800,0.025943949818611145,0.01,0.1
RL,3,1.7084258113579682,0.08426318215963763,0.09677127003669739,11.215318484762776,0.9793616861466159,1,1.9551676720051885,0.05058735514644004,2.0,3.14,800,0.01837611198425293,0.010034836828708649,0.1
RL,4,1.9551676720051885,0.05058735514644004,0.10096904635429382,10.092564565571873,1.1227539191909024,1,1.9659895914223258,-0.06564214447123018,2.0,3.14,785,0.01,0.02146245539188385,0.10096904635429382
RL,5,1.9659895914223258,-0.06564214447123018,0.12668266892433167,9.103093381346769,0.9894711842251045,1,1.9057782381349018,-0.09615560354565073,1.938056230545044,3.0757031440734863,787,0.023884013295173645,0.010303482413291931,0.12668266892433167
RL,6,1.9057782381349018,-0.09615560354565073,0.043069660663604736,8.130220158276826,0.9728732230699428,1,1.9650519091407153,-0.075927548281495,2.0,2.909188747406006,800,0.018025368452072144,0.011934436857700348,0.1
RL,7,1.9650519091407153,-0.075927548281495,0.07222315669059753,7.072699982531849,1.057520175744977,1,1.9679110413383265,-0.054211202025246014,2.0,3.14,800,0.02546977996826172,0.015672869980335236,0.1
RL,8,1.9679110413383265,-0.054211202025246014,0.14478813111782074,6.053064145672664,1.0196358368591847,1,1.9615598329113069,-0.02381201951510665,2.0,3.14,800,0.040504977107048035,0.01,0.14478813111782074
RL,9,1.9615598329113069,-0.02381201951510665,0.15856878459453583,5.059936851708887,0.9931272939637772,1,2.00187630672107,-0.1452905464782024,2.0,3.14,783,0.01,0.01508902758359909,0.15856878459453583
RL,0,-9.537620241349454e-07,0.0074359639403427,0.06132480502128601,14.301238725159084,0.6987484893195663,1,1.721045039534935,0.04726319733784795,1.8169058561325073,3.14,781,0.01,0.013042420148849487,0.1
RL,1,1.721045039534935,0.04726319733784795,0.11438870429992676,13.350231199100975,0.9510075260581097,1,1.9218394110082033,0.09296761549600362,1.9978030920028687,3.14,772,0.029767781496047974,0.01,0.11438870429992676
RL,2,1.9218394110082033,0.09296761549600362,0.0750042200088501,12.350005068109024,1.0002261309919511,1,1.9269152380037664,0.06311840426792285,1.9823976755142212,3.14,800,0.01,0.016429461538791656,0.1
RL,3,1.9269152380037664,0.06311840426792285,0.05692782998085022,11.370306352803533,0.9796987153054904,1,1.8903163205781446,0.05321746241399495,1.9451301097869873,2.865212917327881,800,0.020218029618263245,0.01,0.1
