Method,img_label,linear_vel,angular_vel,pre_inflation,goal_dist,delta_goal_dist,moved_toward_goal,next_linear_vel:,next_angular_vel,max_vel_x,max_vel_theta,nr_pairs_,distance,robot_radius,final_inflation
RL,0,-1.4105651227320383e-07,0.001393511875195297,0.0796407163143158,14.433728389594062,0.5662909873810467,1,1.3439804433945426,-0.04335795389937311,2.0,2.9351954460144043,800,0.01,0.01,0.1
RL,1,1.3439804433945426,-0.04335795389937311,0.08445596694946289,13.75201746855021,0.6817109210438517,1,1.2233302245084912,-0.5532962384317688,1.7912042140960693,2.8153297901153564,780,0.022171631455421448,0.01,0.1
RL,2,1.2233302245084912,-0.5532962384317688,0.18509025871753693,13.243516332216847,0.5085011363333631,1,0.9360963821681944,-0.19705166828100948,1.965599536895752,2.701864242553711,800,0.06260797381401062,0.01,0.18509025871753693
RL,3,0.9360963821681944,-0.19705166828100948,0.1437981128692627,12.861592961442625,0.38192337077422245,1,0.7319220387452373,-0.06296155295770564,2.0,2.9709396362304688,789,0.025323212146759033,0.01,0.1437981128692627
RL,4,0.7319220387452373,-0.06296155295770564,0.08800485730171204,12.608201707862465,0.2533912535801601,1,0.4601906101451503,0.0014007724014626164,2.0,3.14,463,0.01,0.01,0.1
RL,5,0.4601906101451503,0.0014007724014626164,0.1359872668981552,12.591242825078876,0.016958882783589146,0,-0.011106028081608852,0.000716709950732844,2.0,3.14,403,0.019051551818847656,0.019069168716669083,0.1359872668981552
RL,6,-0.10967242421627935,0.007128703647683964,0.144065722823143,12.658898240933627,-0.04608268252528802,0,-0.1068587442688015,-0.001371710672805334,1.7521474361419678,3.14,408,0.01,0.02068457379937172,0.144065722823143
RL,7,-0.10327283924294174,-0.0047273500047230865,0.18284136056900024,12.800472718244643,-0.04776548311144957,0,-0.10232413887132716,0.0011052757613936959,2.0,3.14,458,0.01,0.024898800998926163,0.18284136056900024
RL,8,-0.101863747840538,0.00236081916118938,0.062118321657180786,12.715319712804433,0.12070729365377275,1,0.144141570976348,-0.000646807373587554,2.0,3.14,400,0.01,0.023499038070440292,0.1
RL,9,0.144141570976348,-0.000646807373587554,0.16029594838619232,12.39821733541827,0.3171023773861634,1,1.5039715460619194,-0.03860440446196479,2.0,3.012298583984375,419,0.01,0.01,0.16029594838619232
RL,10,1.416838451554584,0.0074763320953466165,0.07662975788116455,11.879942140226454,0.5182751951918156,1,0.8437644247703409,0.7642007079579672,1.8845000267028809,3.0372815132141113,461,0.01,0.01,0.1
RL,11,0.8437644247703409,0.7642007079579672,0.12773069739341736,11.700377173116602,0.1795649671098527,1,0.05896759116290666,-0.01607036631020812,1.8389995098114014,3.14,760,0.01,0.01864694058895111,0.12773069739341736
RL,12,0.05896759116290666,-0.01607036631020812,0.12836019694805145,11.433668887864725,0.26670828525187673,1,1.0391299832467114,-0.003194914773366986,2.0,2.9169421195983887,800,0.022862926125526428,0.01,0.12836019694805145
RL,13,1.0391299832467114,-0.003194914773366986,0.07490977644920349,11.152195379267134,0.2814735085975908,1,0.7306362774055398,-0.044973607344821774,2.0,3.14,750,0.012356981635093689,0.023770906031131744,0.1
RL,14,0.7306362774055398,-0.044973607344821774,0.1278330236673355,10.831286390613343,0.320908988653791,1,0.5631161368341274,-0.5566261557621401,2.0,3.14,800,0.01,0.01,0.1278330236673355
RL,15,0.5631161368341274,-0.5566261557621401,0.08668252825737,10.461533931729035,0.3697524588843084,1,1.397914409465972,0.06667294809711913,2.0,3.14,744,0.01,0.02079690247774124,0.1
RL,16,1.397914409465972,0.06667294809711913,0.16719266772270203,9.668140644198706,0.7933932875303285,1,1.5709735165053804,0.28252035774596806,1.9308836460113525,3.14,800,0.01,0.01,0.16719266772270203
