Method,img_label,linear_vel,angular_vel,pre_inflation,goal_dist,delta_goal_dist,moved_toward_goal,next_linear_vel:,next_angular_vel,max_vel_x,max_vel_theta,nr_pairs_,nr_steps_,linear_stddev,angular_stddev,lambda,final_inflation
RL,0,1.4327198910343358e-07,-0.012563113421271444,0.5776883363723755,14.182551589746106,0.817454987398845,1,1.9564748598107702,-0.011478786165317209,2.125912666320801,2.8485565185546875,383,21,0.1483343243598938,0.14958319067955017,0.02199999988079071,0.5776883363723755
RL,1,1.9564748598107702,-0.011478786165317209,0.5866380929946899,13.205531478122397,0.9770201116237089,1,1.8584124475237742,-0.08356919681942118,1.8769950866699219,3.305445671081543,369,21,0.15069451928138733,0.15532268583774567,0.02199999988079071,0.5866380929946899
RL,2,1.8584124475237742,-0.08356919681942118,0.6017999053001404,12.290173010356023,0.9153584677663744,1,1.5744588809108413,-0.07765887202483523,2.3023951053619385,3.319830894470215,402,18,0.13948391377925873,0.1539190411567688,0.02199999988079071,0.6017999053001404
RL,3,1.5744588809108413,-0.07765887202483523,0.5411968231201172,11.580075597817986,0.7100974125380368,1,1.1852891748558532,-0.09089170307582306,1.9336289167404175,2.6377806663513184,395,17,0.15944787859916687,0.1428307443857193,0.02199999988079071,0.5411968231201172
RL,4,1.1852891748558532,-0.09089170307582306,0.5946859121322632,11.01863754635238,0.5614380514656059,1,0.9890738496278898,0.07273741674883208,1.849185824394226,3.176485776901245,400,21,0.1293412744998932,0.15160465240478516,0.02199999988079071,0.5946859121322632
RL,5,0.9890738496278898,0.07273741674883208,0.6284756660461426,10.274729272055708,0.7439082742966718,1,1.1240292073309193,1.1290096897656043,1.7679851055145264,2.7111783027648926,436,20,0.12780742347240448,0.15019509196281433,0.02199999988079071,0.6284756660461426
RL,6,1.1240292073309193,1.1290096897656043,0.628421425819397,9.673681839834435,0.6010474322212733,1,1.1055799566411832,0.5463345473218463,1.7198905944824219,2.659731864929199,391,19,0.14271265268325806,0.1535130739212036,0.02199999988079071,0.628421425819397
RL,7,1.1055799566411832,0.5463345473218463,0.5820320248603821,9.274335616121821,0.3993462237126142,1,0.3621949022970933,-0.2936951311875668,2.1025912761688232,2.998908519744873,771,25,0.06603149324655533,0.1528066098690033,0.02199999988079071,0.5820320248603821
RL,8,0.3621949022970933,-0.2936951311875668,0.6652803421020508,9.117877618904322,0.1564579972174993,1,0.6845936535830524,-0.007486974019747714,1.813921332359314,3.0563619136810303,374,18,0.05336431413888931,0.1441660076379776,0.02199999988079071,0.6652803421020508
RL,9,0.6845936535830524,-0.007486974019747714,0.6608324646949768,8.446939814848784,0.6709378040555372,1,1.9483120350456735,-0.2925360370396325,1.9574952125549316,3.1522364616394043,384,22,0.15618954598903656,0.14582520723342896,0.02199999988079071,0.6608324646949768
RL,10,1.9483120350456735,-0.2925360370396325,0.12742879986763,7.6770912262643565,0.769848588584428,1,1.4828154963296976,-0.5439243457978645,2.1704649925231934,0.4247303009033203,347,21,0.13240084052085876,0.14556142687797546,0.02199999988079071,0.12742879986763
RL,11,1.4828154963296976,-0.5439243457978645,0.21316735446453094,6.609860079811894,1.0672311464524622,1,1.9673810763027197,-0.37334251071633096,1.980219841003418,3.1680922508239746,393,17,0.142388254404068,0.15278670191764832,0.02199999988079071,0.21316735446453094
RL,12,1.9673810763027197,-0.37334251071633096,0.6424621343612671,5.597638168137416,1.0122219116744784,1,1.9320840893231788,-0.21958439892448858,1.9489530324935913,2.878039836883545,380,21,0.15105894207954407,0.14234164357185364,0.02199999988079071,0.6424621343612671
RL,13,1.9320840893231788,-0.21958439892448858,0.6616888046264648,4.673349179967835,0.9242889881695806,1,1.7234587039419087,-0.14832431605614646,1.7421324253082275,2.758657455444336,374,20,0.14367042481899261,0.1545412242412567,0.02199999988079071,0.6616888046264648
RL,0,-3.0411276498809184e-07,-0.00020813166625387194,0.5940210223197937,14.581976026020033,0.4180485027473839,1,0.9118009188422116,0.08461004385902887,1.6204414367675781,3.1678829193115234,410,20,0.14464662969112396,0.17217616736888885,0.02199999988079071,0.5940210223197937
RL,1,0.9118009188422116,0.08461004385902887,0.6572941541671753,13.984616290125663,0.5973597358943703,1,1.1073165244248526,0.058357235706022685,1.8785566091537476,3.016162157058716,387,20,0.1583390086889267,0.1638617217540741,0.02199999988079071,0.6572941541671753
RL,2,1.1073165244248526,0.058357235706022685,0.6116502285003662,13.419269620235285,0.5653466698903777,1,1.0540518456688002,0.010933163648521616,1.8187334537506104,3.3745734691619873,417,21,0.14449496567249298,0.1395123302936554,0.02199999988079071,0.6116502285003662
RL,3,1.0540518456688002,0.010933163648521616,0.604277491569519,12.79186749672531,0.6274021235099756,1,1.1732229908768632,-0.08837026646380472,1.983841061592102,3.155287981033325,431,19,0.14220169186592102,0.14508163928985596,0.02199999988079071,0.604277491569519
RL,4,1.1732229908768632,-0.08837026646380472,0.6298359036445618,12.177073303731444,0.6147941929938661,1,1.1477369887554183,-0.19719494369293689,2.222383499145508,3.3292768001556396,387,23,0.14700141549110413,0.15215109288692474,0.02199999988079071,0.6298359036445618
RL,5,1.1477369887554183,-0.19719494369293689,0.6264655590057373,11.652566603427914,0.5245067003035295,1,0.8821130541585486,-0.2555782118953538,1.7099430561065674,2.959001302719116,400,19,0.13428658246994019,0.14444682002067566,0.02199999988079071,0.6264655590057373
RL,6,0.8821130541585486,-0.2555782118953538,0.6028735041618347,11.217281122602596,0.4352854808253177,1,0.7416739129160279,-0.2738598399638321,1.5445542335510254,3.1451268196105957,381,18,0.145851269364357,0.1547246277332306,0.02199999988079071,0.6028735041618347
RL,7,0.7416739129160279,-0.2738598399638321,0.508912980556488,10.783622955644411,0.4336581669581854,1,0.8817339479452053,-0.0019820298511131506,2.0986361503601074,2.9836902618408203,429,21,0.05334436893463135,0.14885804057121277,0.02199999988079071,0.508912980556488
